[702, 728]
[510, 533]
[805, 308]
[936, 455]
[829, 595]
[637, 512]
[763, 237]
[937, 248]
[906, 565]
[551, 695]
[372, 548]
[535, 348]
[778, 417]
[757, 751]
[539, 761]
[528, 498]
[792, 404]
[804, 627]
[583, 719]
[523, 407]
[718, 273]
[849, 411]
[709, 613]
[513, 602]
[510, 412]
[756, 425]
[744, 714]
[526, 800]
[432, 469]
[652, 245]
[891, 293]
[858, 512]
[597, 674]
[385, 613]
[397, 360]
[661, 217]
[871, 272]
[906, 467]
[668, 768]
[415, 733]
[463, 432]
[664, 302]
[751, 465]
[619, 675]
[348, 684]
[326, 498]
[488, 253]
[801, 182]
[978, 273]
[1028, 380]
